witness_ID;text_ID
Paris, Bibliotheque Nationale de France, lat. 8093;Versus de fide ad Avitum episcopum
codex_vestisssimus;Carmen de Christo
Manuscript_carmenchristo_02;Carmen de Christo
Sankt Gallen, StiftsB, 908;Carmina IV
Paris, Bibliotheque nationale de France, nouvel. acq. lat. 2290;Panegyrici II in Aetium
Amiens, Bibliotheque Municipale, 404;Evangeliorum libri IV
Antwerpen, Museum Plantin-Moretus, M 312 (Denuce 62);Evangeliorum libri IV
Berlin, Staatsbibliothek zu berlin, Preussischer Kulturbesitz, Philipps 1824 (Rose 169);Evangeliorum libri IV
Bern, Burgerbilbiothek, 534;Evangeliorum libri IV
Bernkastel-kues, Bibliothek des Sankt Nikolaus-Hospitals, 171, legatura (frg.);Evangeliorum libri IV
Bruxelles, Bibliotheque royale de Belgique, 9964-66 (1179);Evangeliorum libri IV
Cambridge, Corpus Christi College, 304;Evangeliorum libri IV
Cambridge, University Library, Gg 4 42;Evangeliorum libri IV
Cambridge, University Library, Gg 5 35;Evangeliorum libri IV
Charleville-Mezieres, Bibliotheque Municipale, 103;Evangeliorum libri IV
Epinal, Bibliotheque Municipale, 74(161);Evangeliorum libri IV
Firenze , Biblioteca Medicela Laurenziana, San Marco 769;Evangeliorum libri IV
Gdansk, Biblioteka Gdanska polskiej Akademii Nauk, 2396 (Stadtbibliothek, XVII A 66);Evangeliorum libri IV
Grenoble, Bibliotheque Municipale, 859 (195);Evangeliorum libri IV
Karlsruhe, Badische Landesbibliothek, Augiensis perg. 112;Evangeliorum libri IV
Karlsruhe, Badische Landesbibliothek, Augiensis perg. 217 18;Evangeliorum libri IV
Karlsruhe, Badische Landesbibliothek, Augiensis 217.;Evangeliorum libri IV
Klosterneuburg, Bibliothek des Augustiner-Chorher-renstiftes, 1243;Evangeliorum libri IV
Laon, Bibliotheque Municipale, 101;Evangeliorum libri IV
London, British Library, Add. 19723;Evangeliorum libri IV
London, British Library, Harley 3093;Evangeliorum libri IV
London, British Library, Royal 15 A XVI;Evangeliorum libri IV
Madrid, Biblioteca Nacional, 10029;Evangeliorum libri IV
Metz, Bibliotheque Municipale, 519;Evangeliorum libri IV
Milano, Biblioteca Ambrosiana, C 74 sup.;Evangeliorum libri IV
Montecassino, Biblioteca del Monumento Nazionale di Monte Cassino, 326;Evangeliorum libri IV
Montecassino, Biblioteca del Monumento Nazionale di Monte Cassino, 560;Evangeliorum libri IV
Montpellier, Bibliotheque interuniversitaire, Faculte de Medecine, H 362;Evangeliorum libri IV
Munchen, Bayerische Staatsbibliothek, Clm 6402;Evangeliorum libri IV
Munchen, Bayerische Staatsbibliothek, Clm 19453;Evangeliorum libri IV
Munchen, Bayerische Staatsbibliothek, Clm 19454;Evangeliorum libri IV
Munchen, Bayerische Staatsbibliothek, Clm 29334 (fgr) + Clm 18329(PIATTO ANTIORE)+Clm 18532b+Clm 19389;Evangeliorum libri IV
Orleans, Mediatheque de la ville, 295(248 bis);Evangeliorum libri IV
Oxford, Bodleian Library, Barlow 25;Evangeliorum libri IV
Oxford, Bodleian Library, Bodley 527;Evangeliorum libri IV
Paris, Bibliotheque Nationale de France, lat. 9347;Evangeliorum libri IV
Paris, Bibliotheque Nationale de France, lat. 10307;Evangeliorum libri IV
Paris, Bibliotheque Nationale de France, lat. 14758;Evangeliorum libri IV
